Author	n (strains)	publication title	journal	publication URL	strains
Zhang et al	1	A new coronavirus associated with human respiratory disease in China	unknown	https://dx.doi.org/10.1038/s41586-020-2008-3	hCoV-19/Wuhan/Hu-1/2019
Weijun Chen et al	1	Genomic characterisation and epidemiology of 2019 novel coronavirus: implications for virus origins and receptor binding	unknown	https://dx.doi.org/10.1016/S0140-6736(20)30251-8	hCoV-19/Wuhan/WH01/2019
Mak TM et al	2	unknown	unknown	unknown	hCoV-19/Singapore/165/2020,hCoV-19/Singapore/20/2020
Krista Queen et al A	1	First 12 patients with coronavirus disease 2019 (COVID-19) in the United States	unknown	https://dx.doi.org/10.1101/2020.03.09.20032896	hCoV-19/USA/CA-CDC-3/2020
Pilailuk et al	1	unknown	unknown	unknown	hCoV-19/Thailand/Samutprakarn_840/2020
Caly L. et al A	2	Tracking the COVID-19 pandemic in Australia using genomics	unknown	https://dx.doi.org/10.1101/2020.05.12.20099929	hCoV-19/Australia/VIC02/2020,hCoV-19/Australia/VIC14/2020
Kenneth Siu-Sing LEUNG et al	1	A territory-wide study of early COVID-19 outbreak in Hong Kong community: A clinical, epidemiological and phylogenomic investigation	unknown	https://dx.doi.org/10.1101/2020.03.30.20045740	hCoV-19/HongKong/HKPU38-3001/2020
Rodpan et al	2	unknown	unknown	unknown	hCoV-19/Thailand/SI200383-NT/2020,hCoV-19/Thailand/SI203285-NT/2020
Xiaolin Jiang et al	1	unknown	unknown	unknown	hCoV-19/Shandong/2020C1240384/2020
Iglesias-Caballero et al	1	unknown	unknown	unknown	hCoV-19/Spain/EX-ISCIII-201247/2020
Stefan Schmutz et al A	1	unknown	unknown	unknown	hCoV-19/Switzerland/ZH-UZH-1000477102/2020
Matt Storey et al A	9	unknown	unknown	unknown	hCoV-19/NewZealand/20VR1900/2020,hCoV-19/NewZealand/20VR1115/2020,hCoV-19/NewZealand/20VR1380/2020,hCoV-19/NewZealand/20VR1995/2020,hCoV-19/NewZealand/20VR1133/2020,hCoV-19/NewZealand/20VR1814/2020,hCoV-19/NewZealand/20VR1908/2020,hCoV-19/NewZealand/20VR1078/2020,hCoV-19/NewZealand/20VR2056/2020
Son Nguyen et al	28	unknown	unknown	unknown	hCoV-19/Australia/QLD1095/2020,hCoV-19/Australia/QLD1361/2020,hCoV-19/Australia/QLD1360/2020,hCoV-19/Australia/QLD1121/2020,hCoV-19/Australia/QLD958/2020,hCoV-19/Australia/QLD1008/2020,hCoV-19/Australia/QLD1623/2021,hCoV-19/Australia/QLD2026/2021,hCoV-19/Australia/QLD1957/2021,hCoV-19/Australia/QLD1962/2021,hCoV-19/Australia/QLD1122/2020,hCoV-19/Australia/QLD991/2020,hCoV-19/Australia/QLD1459/2020,hCoV-19/Australia/QLD1622/2021,hCoV-19/PapuaNewGuinea/QLD-PNG-7/2021,hCoV-19/Australia/QLD1850/2021,hCoV-19/PapuaNewGuinea/QLD-PNG-13/2021,hCoV-19/Australia/QLD1344/2020,hCoV-19/Australia/QLD966/2020,hCoV-19/Australia/QLD1229/2020,hCoV-19/Australia/QLD1527/2021,hCoV-19/Australia/QLD1468/2020,hCoV-19/Australia/QLD2020/2021,hCoV-19/Australia/QLD2015/2021,hCoV-19/Australia/QLD1966/2021,hCoV-19/Australia/QLD1973/2021,hCoV-19/Australia/QLD1965/2021,hCoV-19/Australia/QLD1969/2021
