strain,date,S1_mutations,clade_membership,country,current_frequency,division,emerging_lineage,epiweek,genbank_accession,host,mutational_fitness,pango_lineage,recency,region,url,author,accession,originating_lab,submitting_lab,logistic_growth
Wuhan-Hu-1/2019,12/26/2019,,19A,China,,China,,201952,MN908947,Homo sapiens,,B,Older,Asia,,Wu et al,,,,
Wuhan/WIV02/2019,12/30/2019,,19A,China,,Hubei,,202001,MN996527,Homo sapiens,0,B,Older,Asia,,Zhou et al,,,,
Wuhan/WH01/2019,12/26/2019,,19A,China,,Hubei,,201952,LR757998,Homo sapiens,-0.01,B,Older,Asia,,Hunter et al,,"BGI, Institute of Microbiology, Chinese Academy of Sciences, Shandong First Medical University and General Hospital of Central Theater Command of People's Liberation Army of China",Beijing Genome Institute,
IND/29/2020,1/27/2020,2,19A,India,,Kerala,,202005,MT012098,Homo sapiens,0.02,B,Older,Asia,,Yadav et al,,,,
AUS/VIC14/2020,2/2/2020,,19A,Australia,,Victoria,,202006,MT450931,Homo sapiens,,B,Older,Oceania,,Seemann et al A,,Victorian Infectious Diseases Reference Laboratory (VIDRL),The Peter Doherty Institute for Infection and Immunity,
AUS/SA02/2020,1/30/2020,,19A,Australia,,South Australia,,202005,MT745747,Homo sapiens,0,B.1,Older,Oceania,,Caly et al A,,Victorian Infectious Diseases Reference Laboratory (VIDRL),The Peter Doherty Institute for Infection and Immunity,
AUS/SA04/2020,1/30/2020,,19A,Australia,,South Australia,,202005,MT745749,Homo sapiens,0,B.1,Older,Oceania,,Caly et al B,,Victorian Infectious Diseases Reference Laboratory (VIDRL),The Peter Doherty Institute for Infection and Immunity,
TWN/CGMH-CGU-02/2020,2/4/2020,1,19A,Taiwan,,Taiwan,,202006,MT374101,Homo sapiens,0.02,B,Older,Asia,,Gong et al A,,,,
CHN/Hefei-20/2020,1/26/2020,1,19A,China,,China,,202005,MZ824624,Homo sapiens,0.02,B,Older,Asia,,Cheng et al A,,,,
USA/CA-CDC-CA5/2020,1/29/2020,1,19A,USA,,California,,202005,MT027064,Homo sapiens,0.02,B,Older,North America,,Tao et al A,,,,
Finland/1/2020,1/29/2020,1,19A,Finland,,Finland,,202005,MT020781,Homo sapiens,0.02,B,Older,Europe,,Smura et al A,,,,
HongKong/2_1801/2020,1/23/2020,,19A,Hong Kong,,Hong Kong,,202004,MT232663,Homo sapiens,0.21,B,Older,Asia,,Leung et al A,,,,
SWE/01/2020,2/7/2020,,19A,Sweden,,Sweden,,202006,MT093571,Homo sapiens,0.21,B,Older,Europe,,Bengner et al,,,,
HongKong/35_0402/2020,2/9/2020,,19A,Hong Kong,,Hong Kong,,202007,MT232678,Homo sapiens,0.23,B.43,Older,Asia,,Leung et al B,,,,
HongKong/76_0802/2020,2/23/2020,,19A,Hong Kong,,Hong Kong,,202009,MT232703,Homo sapiens,0.22,B.43,Older,Asia,,Leung et al C,,,,
THA/SI200478-NST/2020,1/26/2020,,19A,Thailand,,Thailand,,202005,MT447159,Homo sapiens,0.23,B,Older,Asia,,Rodpan et al A,,,,
THA/SI201712-NT/2020,2/3/2020,,19A,Thailand,,Thailand,,202006,MT447161,Homo sapiens,0.22,B,Older,Asia,,Rodpan et al B,,,,
AUS/VIC02/2020,1/24/2020,,19A,Australia,,Victoria,,202004,MT450919,Homo sapiens,0.22,B,Older,Oceania,,Seemann et al B,,Victorian Infectious Diseases Reference Laboratory (VIDRL),The Peter Doherty Institute for Infection and Immunity,
THA/MUMT-4/2020,3/3/2020,1,19A,Thailand,,Thailand,,202010,MT781414,Homo sapiens,0.18,B,Older,Asia,,Sangsiriwut et al,,,,
LKA/COV486/2020,3/31/2020,,19A,Sri Lanka,,Sri Lanka,,202014,MT371050,Homo sapiens,0.22,B,Older,Asia,,Jeewandara et al A,,,,
JAM/JM-CDC-0869/2020,3/9/2020,,19A,Jamaica,,Jamaica,,202011,MT507271,Homo sapiens,0.22,B.40,Older,North America,,Li et al A,,,,
KEN/D6/2020,3/17/2020,,19A,Kenya,,Kenya,,202012,MT549878,Homo sapiens,0.25,B.40,Older,Africa,,Matoke-Muhia et al,,,,
GRC/53_38017/2020,4/4/2020,,19A,Greece,,Athens,,202014,MT459847,Homo sapiens,0.21,B.40,Older,Europe,,Kassela et al A,,,,
England/LOND-124C531/2020,3/23/2020,,19A,United Kingdom,,England,,202013,OA967232,Homo sapiens,0.28,B,Older,Europe,,Haque et al,,Royal Free Hospital / Health Services Laboratories,Wellcome Sanger Institute,
NZL/20VR1763/2020,3/25/2020,,19A,New Zealand,,Southland,,202013,OK426528,Homo sapiens,0.3,B.31,One month ago,Oceania,,Ren et al A,,Southern Community Labs Dunedin,Institute of Environmental Science and Research,
NZL/20VR1785/2020,3/26/2020,,19A,New Zealand,,Southland,,202013,OK426729,Homo sapiens,0.3,B.31,One month ago,Oceania,,Ren et al B,,Southern Community Labs Dunedin,Institute of Environmental Science and Research,
JOR/SEARCH-0333-JOR/2020,4/7/2020,,19A,Jordan,,Amman,,202015,MT811567,Homo sapiens,0.31,B.28,Older,Asia,,Abu-Dayyeh et al A,,Biolab Diagnostic Laboratories,The Scripps Research Institute,
BRA/SP02cc/2020,3/18/2020,1,19A,Brazil,,Brazil,,202012,MT350282,Homo sapiens,0.3,B,Older,South America,,Malta et al A,,,,
BRA/SP02/2020,2/28/2020,,19A,Brazil,,Brazil,,202009,MT126808,Homo sapiens,0.31,B,Older,South America,,Amgarten et al,,,,
AUS/TAS124/2020,3/11/2020,,19A,Australia,,Tasmania,,202011,MT973390,Homo sapiens,0.31,B,Older,Oceania,,Sait et al A,,Royal Hobart Hospital Microbiology Department,The Peter Doherty Institute for Infection and Immunity,
TLS/TL25/2020,3/30/2020,,19A,Timor-Leste,,Timor-Leste,,202014,MT641778,Homo sapiens,0.34,B.35,Older,Asia,,Caly et al C,,"National Health Laboratory, Timor-Leste",The Peter Doherty Institute for Infection and Immunity,
JOR/SEARCH-0042-JOR/2020,3/30/2020,,19A,Jordan,,Amman,,202014,MT811552,Homo sapiens,0.33,B.35,Older,Asia,,Abu-Dayyeh et al B,,Biolab Diagnostic Laboratories,The Scripps Research Institute,
HongKong/Case0291/2020,3/22/2020,,19A,Hong Kong,,Hong Kong,,202013,MW181706,Homo sapiens,0.13,B.4,Older,Asia,,Siu et al A,,,,
IRN/KHGRC-3-2178/2020,3/26/2020,1,19A,Iran,,Iran,,202013,MT459928,Homo sapiens,0.13,B.4,Older,Asia,,Abbasalipour Bashash et al A,,,,
IRN/COVID19-IRVSH3/2020,5/1/2020,1,19A,Iran,,Iran,,202018,MT994286,Homo sapiens,0.13,B.4,Older,Asia,,Shahabzadeh et al A,,,,
GEO/MM001523/2020,4/4/2020,,19A,Georgia,,Georgia (Asia),,202014,MT291843,Homo sapiens,0.12,B.4,Older,Asia,,Murtskhvaladze et al,,,,
IRN/12624/2020,4/28/2020,,19A,Iran,,Iran,,202018,MZ359830,Homo sapiens,0.08,B.4,Older,Asia,,Azadmanesh et al,,,,
GEO/MM202082/2020,2/28/2020,,19A,Georgia,,Georgia (Asia),,202009,MT231248,Homo sapiens,0.42,B.4,Older,Asia,,Kotorashvili et al A,,,,
TUN/COV0880/2020,3/28/2020,1,19A,Tunisia,,Tunisia,,202013,MT499216,Homo sapiens,0.2,B.4,Older,Africa,,Fares et al A,,,,
TWN/CGMH-CGU-03/2020,2/26/2020,,19A,Taiwan,,Taiwan,,202009,MT370516,Homo sapiens,0.21,B.4,Older,Asia,,Tsao et al A,,,,
TWN/CGMH-CGU-08/2020,3/10/2020,,19A,Taiwan,,Taiwan,,202011,MT374104,Homo sapiens,0.21,B.4,Older,Asia,,Gong et al B,,,,
GEO/Tb-7851/2020,5/1/2020,1,19A,Georgia,,Georgia (Asia),,202018,MT786438,Homo sapiens,0.21,B.4,Older,Asia,,Imnadze et al,,,,
AUS/VIC1463/2020,4/21/2020,,19A,Australia,,Victoria,,202017,MT612138,Homo sapiens,0.26,B.4.5,Older,Oceania,,Caly et al D,,Victorian Infectious Diseases Reference Laboratory (VIDRL),The Peter Doherty Institute for Infection and Immunity,
NZL/20VR0174/2020,2/27/2020,,19A,New Zealand,,New Zealand,,202009,MZ331872,Homo sapiens,0.22,B.4,Older,Oceania,,Geoghegan et al A,,,Institute of Environmental Science and Research,
IRN/COVID19-IRVSH6/2020,5/1/2020,1,19A,Iran,,Iran,,202018,MT994881,Homo sapiens,0.21,B.4,Older,Asia,,Shahabzadeh et al B,,,,
IRN/HGRC-1.1-IPI-8206/2020,3/9/2020,,19A,Iran,,Iran,,202011,MT320891,Homo sapiens,0.22,B.4,Older,Asia,,Zeinali et al A,,,,
IRQ/IRQ-BAS2/2020,10/1/2020,,19A,Iraq,,Iraq,,202040,MW546610,Homo sapiens,0.22,B.4,Older,Asia,,Abu-Ali et al A,,,,
Wuhan/IPBCAMS-WH-04/2019,12/30/2019,,19A,China,,Hubei,,202001,MT019532,Homo sapiens,,B,Older,Asia,,Ren et al C,,,,
VNM/nCoV-19-02S/2020,1/22/2020,,19A,Vietnam,,Southeast Region,,202004,MT192773,Homo sapiens,0,B,Older,Asia,,Nguyen et al A,,,,
VNM/nCoV-19-01S/2020,1/22/2020,,19A,Vietnam,,Southeast Region,,202004,MT192772,Homo sapiens,0,B,Older,Asia,,Cao et al,,,,
CHN/Hefei-679/2020,2/20/2020,,19A,China,,China,,202008,MZ824647,Homo sapiens,0,B,Older,Asia,,Cheng et al B,,,,
Japan/Donner38/2020,4/15/2020,,19A,Japan,,Kanto,,202016,BS000718,Homo sapiens,-0.05,B.12,Older,Asia,,Kosaki et al A,,,,
TWN/CGMH-CGU-01/2020,1/25/2020,,19A,Taiwan,,Taiwan,,202004,MT192759,Homo sapiens,,B,Older,Asia,,Tsao et al B,,,,
CHN/GZMU0031/2020,2/25/2020,,19A,China,,Guangdong,,202009,MT568637,Homo sapiens,,B,Older,Asia,,Zhao et al,,,,
Mesocricetusauratus/HKG/15_P2/2020,5/15/2020,,19A,Hong Kong,,Hong Kong,,202020,MT835141,Mesocricetus auratus,0.06,B,Older,Asia,,Chen et al A,,,,
Netherlands/NA_287/2020,3/31/2020,,19A,Netherlands,,Netherlands,,202014,LR878036,Homo sapiens,0.37,B.55,Older,Europe,,Fouchier et al A,,,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",
Netherlands/Oss_1363500/2020,2/29/2020,,19A,Netherlands,,North Brabant,,202009,LR878219,Homo sapiens,0.37,B.55,Older,Europe,,Fouchier et al B,,,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",
